Sample_ID,I_Ca_umol_per_mol,Mg_Ca_mmol_per_mol,delta13C,delta18O,Age_Ma,Reference,DOI
GP16 MOC26,2.12,1.32,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC28,2.14,1.098,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC30,2.19,1.074,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
RR1313 21MC,4.9,2.352,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
RR1313 21MC,4.49,2.286,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
RR1313 28MC,1.99,2.19,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
RR1313 28MC,1.9,2.346,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
RR1313 2MC,1.2,2.484,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC11,0.47,0.804,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC11,0.43,0.798,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC11,0.5,0.822,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC11,0.46,0.96,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC13,0.5,0.876,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC13,0.32,0.864,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC17,0.67,0.828,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC17,0.86,0.828,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC17,0.74,0.816,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC20,1.23,1.158,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC20,1.04,1.164,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC25,0.69,1.08,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC25,0.43,1.038,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC25,1.09,0.942,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC26,1.07,1.11,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC26,0.73,1.212,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC28,0.65,0.894,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC30,0.93,1.098,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC30,0.66,0.924,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
OC205-2 57 BC,2.5,1.38,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
OC205-2 60 BC,2.42,1.404,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
OC205-2 60 BC,2.66,1.272,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
RR1313 28MC,0.99,0.972,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC17,2.25,0.69,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC17,2.04,0.846,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC17,1.98,0.96,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
GP16 MOC25,1.43,1.008,,,0.001,"Hess et al., 2025",https://doi.org/10.1016/j.gca.2025.01.018
N. dutertrei,0.78,,1.82,0.37,6,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.86,,,,6.67,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.73,,,,7.33,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.75,,1.67,0.43,8,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.39,,1.52,0.79,8.75,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.5,,1.41,1.17,11.25,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.74,,1.35,1.04,12.5,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.47,,1.39,1.25,13.75,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.5,,1.43,1.24,15,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.21,,,,16.25,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.31,,1.61,1.45,17.5,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.53,,1.54,1.37,17.73,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.52,,1.5,1.29,18.79,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.05,,1.77,1.54,19.86,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.13,,1.75,1.31,20.92,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.2,,1.67,1.51,21.98,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.66,,1.56,1.11,23.05,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.69,,1.72,1.43,24.11,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.67,,1.67,1.52,25.18,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.56,,1.62,1.34,27.3,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.72,,1.75,1.11,29.43,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.81,,1.74,1.11,30.49,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.66,,1.74,1.11,33.68,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
N. dutertrei,0.64,,1.75,1.02,36.88,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,2.27,,1.11,-0.3,6.67,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,1.93,,1.06,-0.48,7.33,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,2.89,,0.86,-0.55,8,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,1.91,,1.12,0.16,8.75,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,1.79,,0.74,0.06,11.25,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,1.65,,1,0.15,12.5,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,1.37,,0.78,0.37,13.75,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,1.21,,0.86,0.44,15,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,0.67,,0.83,0.59,16.25,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,0.74,,1,0.72,17.5,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,0.8,,1.22,0.59,17.73,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,1.23,,,,18.79,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,0.94,,,,19.86,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,1.25,,1.27,0.86,20.92,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,1.18,,1.26,0.73,21.98,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,1.74,,1.34,0.59,23.05,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,1.34,,,,24.11,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,1.47,,,,25.18,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,0.88,,1.11,0.44,27.3,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,1.75,,1.19,0.52,29.43,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,1.48,,1.11,0.3,30.49,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,1.84,,1.11,0.23,33.68,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
P. obliquiloculata,1.87,,,,36.88,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
G. sacculifer,1.79,,,,6.67,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
G. sacculifer,1.99,,,,8,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
G. sacculifer,2.11,,,,8.75,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
G. sacculifer,1.77,,,,11.25,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
G. sacculifer,1.18,,,,12.5,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
G. sacculifer,1.19,,,,13.75,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
G. sacculifer,1.05,,,,15,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
G. sacculifer,0.4,,,,17.5,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
G. sacculifer,0.68,,,,17.73,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
G. sacculifer,1.01,,,,18.79,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
G. sacculifer,1.24,,,,19.86,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
G. sacculifer,0.97,,,,20.92,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
G. sacculifer,1.02,,,,21.98,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
G. sacculifer,1.35,,,,23.05,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
G. sacculifer,1.46,,,,24.11,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
G. sacculifer,1.55,,,,25.18,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
G. sacculifer,1.49,,,,27.3,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
G. sacculifer,1.73,,,,29.43,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
G. sacculifer,2.1,,,,30.49,"Hoogakker et al., 2018",https://doi.org/10.1038/s41586-018-0589-x
JY-0,0,0.15029008,,,1000,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
JY-2.5,0,0.351210758,,,999.8100304,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
JY-3,0,0.149312358,,,999.7720365,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
JY-7.2,0,0.029344487,,,999.4528875,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
JY-9.1,0,0.208704073,,,998.5486322,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-0,0,0.016112037,,,999.2401216,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-4,0.023957007,0.021703591,,,998.9361702,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-9.5,0.170087633,0.069946065,,,998.5182371,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-12.4,0.035499905,0.44824823,,,998.2978723,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-17.1,0.014742005,0.06038317,,,997.9407295,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-22.2,0,0.430993121,,,997.5531915,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-26,0.011319392,0.087051767,,,997.2644377,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-31.2,0,0.108697763,,,996.8693009,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-37.6,0.011332746,0.182612451,,,996.3829787,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-42.3,0.060523093,0.104460502,,,996.0258359,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-48,0.072580747,0.045466865,,,995.5927052,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-53,0.026914657,0.038080463,,,995.212766,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-58,0.049275035,0.10351797,,,994.8328267,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-62,0.077733129,0.075764676,,,994.5288754,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-66.8,0,0.131792148,,,994.1641337,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-70,0.593853001,0.016799001,,,993.9209726,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-75.5,0.570630311,0.0611955,,,993.5030395,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-81.7,0.107808806,0.046092332,,,993.0319149,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-85,0.290713661,0.056664926,,,992.781155,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-90.1,0.106270973,0.056619266,,,992.393617,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-96,0.120851041,0.055023533,,,991.9452888,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-99.7,0.011911838,0.121480706,,,991.6641337,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-104,0.00220217,0.113149855,,,991.337386,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-108,0,0.308332216,,,991.0334347,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-114,0.087261563,0.084306372,,,990.5775076,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-119.9,0.157028336,0.094672399,,,990.1291793,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-126.2,0.11031628,0.051732059,,,989.6504559,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-134.4,0.100254425,0.166429171,,,989.0273556,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-138.1,0.11153346,0.060315711,,,988.7462006,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-143.8,0.128197923,0.144327564,,,988.3130699,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-155,0.100075745,0.035881667,,,987.4620061,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-166,0.259392752,0.032913792,,,986.6261398,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-172.9,0.085129371,0.056136305,,,986.1018237,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-180.7,0.037646528,0.03136519,,,985.5091185,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
ZW-185,0.174338631,0.161195563,,,985.1823708,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-0.85,0.157847271,0.553238425,,,985.1177812,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-3,0.03736689,0.04617711,,,984.9544073,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-6.4,0.116073196,0.386728181,,,984.6960486,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-11,0.171030643,0.503667684,,,984.3465046,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-13.6,0.086214347,0.051493606,,,984.1489362,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-16.9,0.117176314,0.219691444,,,983.8981763,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-18.3,0.073022892,0.303469906,,,983.7917933,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-21.2,0.03989225,0.026293671,,,983.5714286,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-24.3,0.178512099,0.019383988,,,983.3358663,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-25.3,0.086368168,0.085145419,,,983.2598784,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-32.3,0.05264086,0.990781513,,,982.7279635,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-36,0.075147488,0.067418117,,,982.4468085,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-42.7,0.034046651,0.080474086,,,981.93769,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-47.9,0.019755674,0.059666882,,,981.5425532,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-53.4,0.029207626,0.033931366,,,981.1246201,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-60,0.051329475,0.467995265,,,980.6231003,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-65,0.00577389,0.065927606,,,980.2431611,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-69.1,0.036769081,0.086366742,,,979.9316109,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-77.2-Q,0,0.321486258,,,979.3161094,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-77.2-S,0.02730756,0.015681902,,,979.5592705,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-74,0.023597111,0.079626234,,,979.3161094,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-82.05,0,0.056085368,,,978.9475684,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-85.1,0.023861573,0.1126482,,,978.7158055,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-89.8,0.012714931,0.079003272,,,978.3586626,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-93,0.012714939,0.127818133,,,978.1155015,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-99.3,0.035918436,0.065688352,,,977.6367781,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-102.7,0.018313433,0.029643396,,,977.3784195,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-102.9,0.128722411,0.514690369,,,977.3632219,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-103.1,0.08725765,0.312255828,,,977.3480243,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-103.2,0.102575328,0.379133597,,,977.3404255,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-103.3,0.115910623,0.374628415,,,977.3328267,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-108.2-Q,0.101055669,0.673091822,,,976.9604863,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-108.2-S,0.055111262,0.524113415,,,976.9604863,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-108.3,0.06579647,0.490335068,,,976.9528875,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-109.2,0.059977556,0.328412763,,,976.8844985,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-109.9,0,0.553016591,,,976.831307,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-110.5,0.050097049,0.359742111,,,976.7857143,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-110.8,0,0.322433424,,,976.7629179,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-111.2,0,0.02803803,,,976.7325228,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-111.8,0,0.02247976,,,976.6869301,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-115.7,0.039841905,0.900155192,,,976.3905775,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-118.8,0,0.046698399,,,976.1550152,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-121.3,0,0.062984408,,,975.9650456,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-124.3,0,0.03361759,,,975.7370821,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-127.2,0,0.18955248,,,975.5167173,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-130.5,0,0.050094805,,,975.2659574,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-134.6,0.018165452,0.145085561,,,974.9544073,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-138.9,0.00759243,0.208706777,,,974.6276596,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-141.7,0.03685969,0.712625697,,,974.4148936,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-144,0.041461023,0.605589599,,,974.2401216,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-147,0.025843209,0.143238449,,,974.0121581,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-151,0.458197804,0.958086499,,,973.7082067,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-156,0.045984912,0.88992931,,,973.3282675,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-156.8-Q,0.268586718,0.945864351,,,973.2674772,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-156.8-S,0.117138417,0.878375329,,,973.2674772,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-158.3,0.079682058,0.773195804,,,973.1534954,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-158.3-S,0.052911227,0.942827248,,,973.1534954,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-159.2-Q,0.034588691,0.916044041,,,973.0851064,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-159.2-S,0.080486628,0.876606158,,,973.0851064,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-160.5,0.155561072,0.860509667,,,972.9863222,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-164.8-Q,0.184884788,0.869448789,,,972.6595745,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-164.8-S,0.136261861,0.960790472,,,972.6595745,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-166,0.152913133,0.796404886,,,972.5683891,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-169.4,0.126902761,0.618373956,,,972.3100304,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-171,0,0.757126723,,,972.1884498,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-174,0.06528748,0.650823365,,,971.9604863,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-177.8,0.031699131,0.6943064,,,971.6717325,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-181,0,0.014622427,,,971.4285714,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-184.5,0.059088288,0.762387516,,,971.162614,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-188.2,0.243844783,0.907362661,,,970.881459,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-190-Q,0.089656732,0.6840485,,,970.7446809,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-190-S,0.031718863,0.543097427,,,970.7446809,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-192.6,0,0.720898757,,,970.5471125,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-195.2,0.013713796,0.650558929,,,970.3495441,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-197.5,0,0.043317851,,,970.174772,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-201.2,0,0.016704528,,,969.893617,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-206.6,0.137355864,0.708380119,,,969.4832827,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-210.5,0,0.031772777,,,969.1869301,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-214.6,0,0.016355556,,,968.8753799,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-217.5-Q,0.006950485,0.854646177,,,968.6550152,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-217.5-S,0.044582081,0.907068618,,,968.6550152,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-218.4,0.049098355,0.825586678,,,968.5866261,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-219.1-Q,0.004533228,0.595743517,,,968.5334347,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-219.1-S,0.005841214,0.657354948,,,968.5334347,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-222.4,0.03683383,0.75132629,,,968.2826748,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-226,0.072820005,0.734806125,,,968.0091185,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-228,0,0.822514101,,,967.8571429,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-229.3-Q,0.175759331,0.882400318,,,967.7583587,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-229.3-S,0.127123534,0.883620601,,,967.7583587,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-232.4,0.161346509,0.993209431,,,967.5227964,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-237.5,0.074253434,1.052503725,,,967.1352584,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-243.3,0.050488947,1.029302384,,,966.6945289,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-248,0.062167238,0.976278865,,,966.337386,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-251.5-Q,0.073688246,1.046660842,,,966.0714286,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-251.5-S,0.076384103,1.006218558,,,966.0714286,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-253.7,0.086773531,0.95988152,,,965.9042553,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-256-Q,0,0.676647964,,,965.7294833,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-256-S,0,0.125879998,,,965.7294833,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-257.7,0.028006258,0.029789885,,,965.600304,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-260,0.010474279,0.534613255,,,965.4255319,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
NY-264,0.050048097,0.929913678,,,965.1215805,"Hou et al., 2025",https://doi.org/10.1029/2025JG008835
